,slang,formal
1022,taun,tahun
1023,taw,tahu
1024,tawh,tahu
1025,td,tadi
1026,tdi,tadi
1027,tdk,tidak
1028,te2p,tetap
1029,teh,kakak perempuan
1030,tekor,rugi
1031,telat,terlambat
1032,telkom,telekomunikasi
1033,telmi,telat berpikir
1034,telp,telepon
1035,temen,teman
1036,temen2,teman-teman
1037,tengil,menyebalkan
1038,tengok,menjenguk
1039,tepar,terkapar
1040,terbitin,terbitkan
1041,tggu,tunggu
1042,tgl,tanggal
1043,tgu,tunggu
1044,thanks,terima kasih
1045,thankz,terima kasih
1046,thd,terhadap
1047,thn,tahun
1048,thx,terima kasih
1049,tilang,bukti pelanggaran
1050,tipi,TV
1051,tipiwan,TvOne
1052,tkg,tukang
1053,tks,terima kasih
1054,tll,terlalu
1055,tlp,telepon
1056,tlpn,telepon
1057,tls,tulis
1058,tman,teman
1059,tmbah,tambah
1060,tmbh,tambah
1061,tmen2,teman-teman
1062,tmn2,teman-teman
1063,tmpah,tumpah
1064,tmph,tumpah
1065,tmpt,tempat
1066,tnda,tanda
1067,tngu,tunggu
1068,tnh,tanah
1069,tnyta,ternyata
1070,togel,toto gelap
1071,tokai,tai
1072,tokai,tai
1073,toserba,toko serba ada
1074,tp,tapi
1075,tpi,tapi
1076,tq,terima kasih
1077,trdhulu,terdahulu
1078,trgntg,tergantung
1079,trima,terima kasih
1080,trims,terima kasih
1081,trimz,terima kasih
1082,trm,terima
1083,trnyt,ternyata
1084,trs,terus
1085,trus,terus
1086,trutama,terutama
1087,trz,terus
1088,ts,penulis
1089,tsb,tersebut
1090,tst,tahu sama tahu
1091,ttd,tertanda
1092,ttg,tentang
1093,ttp,tetap
1094,tuch,tuh
1095,tuh,itu
1096,tuir,tua
1097,tuwh,tuh
1098,tw,tahu
1099,tyap,tiap
1100,u,kamu
1101,u/,untuk
1102,ud,sudah
1103,uda,sudah
1104,udah,sudah
1105,udh,sudah
1106,ujg,ujung
1107,ujung2nya,ujung-ujungnya
1108,ul,ulangan
1109,ultah,ulang tahun
1110,unyu,lucu
1111,unyu,menggemaskan
